species,n_records,n_presence_patches,auc_mean,auc_std,accuracy_mean,precision_mean,recall_mean,f1_mean,mcc_mean,kappa_mean,tss_mean
Inula salicina,90,75,0.8195555555555554,0.09262470554240672,0.8099999999999999,0.8400000000000001,0.30666666666666664,0.4158129744651484,0.4078847265292758,0.3437514362641697,0.2844444444444444
Iberis amara,138,104,0.8194148196913174,0.04130578962100128,0.7932300631095812,0.707987012987013,0.3276190476190476,0.44130301174974995,0.3756342432785805,0.3343776190618722,0.27636456733230924
Silene dioica,7802,4854,0.8194132656738737,0.008391232229832549,0.7994950128540979,0.6665500367117267,0.3963689256479132,0.4969802325369324,0.4019342402757891,0.3817564128672811,0.33023737439792733
Euphrasia nemorosa,36,26,0.8193333333333331,0.0719614094111868,0.7980952380952381,0.7333333333333333,0.23333333333333334,0.3380952380952381,0.34841720318593417,0.27803817012991955,0.2208333333333333
Trifolium repens,4001,2612,0.819021877910038,0.01893505890180379,0.79393340830644,0.6809022972058963,0.3300279114744731,0.44444288687506905,0.36956578804489204,0.33627719014884383,0.27859904701228744
Rumex acetosa,1754,1197,0.8189448842205879,0.01796048835881576,0.7995000032722299,0.7159008934395118,0.3308333333333333,0.4516061835933002,0.3881531332805596,0.3487649181694271,0.28655293770492646
Jacobaea vulgaris,446,388,0.8186277691771995,0.01682821674051814,0.786086505549217,0.6663538560922282,0.2940725940725941,0.40580563978794065,0.33726698998914495,0.2992027809451935,0.244253887546029
Papaver dubium,154,131,0.8186229634623012,0.039205506402779006,0.7861721611721612,0.6161227661227662,0.32820512820512826,0.4247312715733768,0.3356178504807062,0.3124901747649654,0.2670886075949367
Amaranthus caudatus,65,39,0.8185235507246377,0.11584040071507089,0.8012096774193548,0.7355555555555555,0.3821428571428571,0.4580392156862745,0.4095363403130863,0.35901237672298403,0.32236024844720496
Spiraea chamaedryfolia,46,41,0.8184490740740742,0.13062766756814403,0.8119318181818181,0.6476190476190476,0.48888888888888893,0.5538461538461539,0.44796214606546875,0.44002342227554314,0.40822222222222215
Platanthera bifolia,2928,1633,0.8184362701870352,0.0035203457501632586,0.8037354520540241,0.69827324660935,0.37844130504118123,0.4902179128995578,0.40966421678870024,0.38194425269134663,0.3239398354032749
Centaurea uniflora,51,37,0.8183229813664596,0.141106985213372,0.789655172413793,0.6966666666666667,0.32142857142857145,0.43575757575757573,0.36557485855664407,0.3249688948273284,0.2668831168831169
Schoenoplectus lacustris,129,87,0.8182980449073678,0.03899894285428434,0.8190476190476191,0.8536507936507937,0.34705882352941175,0.4822714322714322,0.46129225925269585,0.3982988358605303,0.3241270383334756
Equisetum arvense,1564,1187,0.8182886806107623,0.008273183486571169,0.7946496589207476,0.6967779138329985,0.31675353685778107,0.435069268231715,0.3692255465088424,0.33062859976988374,0.2706975461869331
Linaria vulgaris,2369,1804,0.8182269348711158,0.009149350302519314,0.7867250054230664,0.6610869530479758,0.30377500769467525,0.41597664550378805,0.34163370840080465,0.3066849577474453,0.25148717165355594
Iris pallida,53,47,0.8179912424740012,0.08049434848951018,0.7603129445234708,0.6206349206349207,0.31999999999999995,0.3687581699346405,0.2888484151160772,0.2513219622290086,0.228128078817734
